Cat ID,Season,Sex,Seasonal HR area (ha) 95% KDE (all cats),Seasonal HR area (ha) 90% KDE (all cats),Seasonal HR area (ha) 50% KDE (all cats),Seasonal HR area (ha) 95% KDE (altered cats),Seasonal HR area (ha) 90% KDE (altered cats),Seasonal HR area (ha) 50% KDE (altered cats),Day/Night HR area (ha) 95% KDE (all cats),Day/Night HR area (ha) 90% KDE (all cats),Day/Night HR area (ha) 50% KDE (all cats),Day/Night HR area (ha) 95% KDE (altered cats),Day/Night HR area (ha) 90% KDE (altered cats),Day/Night HR area (ha) 50% KDE (altered cats),,
1,Summer '10,Female,2.84814,1.936585,0.458268,2.84814,1.936585,0.458268,,,,,,,,
1,Winter,Female,3.459911,2.420782,0.541994,3.459911,2.420782,0.541994,,,,,,,,
1,Spring,Female,2.571073,1.910773,0.480475,2.571073,1.910773,0.480475,,,,,,,,
2,Summer '10,Female,8.411174,6.110999,0.997098,,,,,,,,,,,
2,Winter,Female,6.075272,4.612885,0.958458,,,,,,,,,,,
2,Spring,Female,7.984401,6.389704,1.640707,,,,,,,,,,,
3,Summer '10,Male,2.245268,1.7187,0.470223,2.245268,1.7187,0.470223,,,,,,,,
3,Fall,Male,5.422906,3.993321,0.753305,5.422906,3.993321,0.753305,,,,,,,,
3,Winter,Male,4.471899,3.133013,0.594732,4.471899,3.133013,0.594732,,,,,,,,
3,Spring,Male,2.213936,1.703317,0.403035,2.213936,1.703317,0.403035,,,,,,,,
7,Summer '10,Female,3.665432,2.401472,0.363525,3.665432,2.401472,0.363525,,,,,,,,
7,Fall,Female,8.221253,5.918458,0.904074,8.221253,5.918458,0.904074,,,,,,,,
7,Winter,Female,3.174088,2.32719,0.531438,3.174088,2.32719,0.531438,,,,,,,,
7,Spring,Female,1.012131,0.764139,0.224584,1.012131,0.764139,0.224584,,,,,,,,
7,Summer '11,Female,5.069694,3.313483,0.531438,5.069694,3.313483,0.531438,,,,,,,,
4,Summer '10,Male,12.42641,8.546611,2.076468,,,,,,,,,,,
4,Summer '11,Male,10.784757,7.012399,1.101198,,,,,,,,,,,
4,Winter,Male,33.992474,24.045033,4.14909,,,,,,,,,,,
4,Spring,Male,8.529022,6.230695,1.583837,,,,,,,,,,,
5,Summer '10,Female,3.09312,2.117512,0.43151,3.09312,2.117512,0.43151,,,,,,,,
5,Summer '11,Female,2.478768,1.725586,0.308303,2.478768,1.725586,0.308303,,,,,,,,
5,Fall,Female,2.90264,1.998942,0.358587,2.90264,1.998942,0.358587,,,,,,,,
5,Spring,Female,2.376602,1.714348,0.369299,2.376602,1.714348,0.369299,,,,,,,,
6,Summer '10,Female,4.165563,3.043466,0.724888,4.165563,3.043466,0.724888,,,,,,,,
6,Summer '11,Female,3.481026,2.238999,0.383326,3.481026,2.238999,0.383326,,,,,,,,
6,Spring,Female,5.123469,3.852049,0.945352,5.123469,3.852049,0.945352,,,,,,,,
1,Summer '11,Female,3.727367,2.463024,0.557066,3.727367,2.463024,0.557066,,,,,,,,
2,Summer '11,Female,5.871769,3.865437,0.301675,,,,,,,,,,,
3,Summer '11,Male,2.512406,1.880486,0.517382,2.512406,1.880486,0.517382,,,,,,,,
1,Day,Female,,,,,,,3.606577,2.355259,0.558137,3.606577,2.355259,0.558137,,
2,Day,Female,,,,,,,7.84853,5.857324,1.049647,,,,,
3,Day,Male,,,,,,,3.19534,2.343146,0.645968,3.19534,2.343146,0.645968,,
1,Night,Female,,,,,,,3.160301,2.091995,0.587103,3.160301,2.091995,0.587103,,
2,Night,Female,,,,,,,10.465121,7.316982,1.282946,,,,,
3,Night,Male,,,,,,,4.851846,3.392214,0.708088,4.851846,3.392214,0.708088,,
7,Day,Female,,,,,,,3.222675,2.074199,0.336726,3.222675,2.074199,0.336726,,
4,Day,Male,,,,,,,11.110637,7.317851,1.454699,,,,,
4,Night,Male,,,,,,,14.3452,9.405592,1.54873,,,,,
5,Day,Female,,,,,,,2.926137,1.869552,0.308705,2.926137,1.869552,0.308705,,
5,Night,Female,,,,,,,2.85486,2.034291,0.430212,2.85486,2.034291,0.430212,,
6,Day,Female,,,,,,,3.080173,1.969783,0.342586,3.080173,1.969783,0.342586,,
6,Night,Female,,,,,,,5.186596,3.467022,0.907469,5.186596,3.467022,0.907469,,
7,Night,Female,,,,,,,6.794911,4.525898,0.574528,6.794911,4.525898,0.574528,,
